participant,consistency,matching,key_resp_3.corr,key_resp_3.rt,stage
ap01,c,match,1,0.825733,adapt
ap01,c,match,1,0.5265454,adapt
ap01,c,match,1,1.0297599,adapt
ap01,c,match,1,0.6625284,adapt
ap01,c,match,1,0.6501064,adapt
ap01,c,match,1,0.4890535,adapt
ap01,c,match,1,0.6267208,adapt
ap01,c,match,1,0.494127,adapt
ap01,c,match,1,0.6614425,adapt
ap01,c,match,1,0.5126537,adapt
ap01,c,match,1,0.6224529,adapt
ap01,c,match,1,0.4844226,adapt
ap01,c,match,1,0.450276,adapt
ap01,c,match,1,0.5530044,adapt
ap01,c,match,1,0.4199839,adapt
ap01,c,match,1,0.4862054,adapt
ap01,c,match,1,0.3729793,adapt
ap01,c,match,1,0.6399026,adapt
ap01,c,match,1,0.3851224,adapt
ap01,c,match,1,0.5426618,adapt
ap01,c,match,1,0.5816048,adapt
ap01,c,match,1,0.4217971,adapt
ap01,c,match,1,0.4930419,adapt
ap01,c,match,1,0.4812216,adapt
ap01,c,match,1,1.272529104,baseline
ap01,c,match,1,1.172550626,baseline
ap01,c,match,1,1.023055829,baseline
ap01,c,match,1,0.887936664,baseline
ap01,c,match,1,1.409025683,baseline
ap01,c,match,1,0.752656273,baseline
ap01,c,match,1,0.495656681,baseline
ap01,c,match,1,0.509163122,baseline
ap01,c,match,1,0.791754006,baseline
ap01,c,match,1,1.023793244,baseline
ap01,c,match,1,0.476917725,baseline
ap01,c,match,1,1.058863701,baseline
ap01,c,mismatch,1,0.7983839,adapt
ap01,c,mismatch,1,0.5426689,adapt
ap01,c,mismatch,1,0.686099,adapt
ap01,c,mismatch,1,0.5611092,adapt
ap01,c,mismatch,1,0.7241596,adapt
ap01,c,mismatch,1,0.5840936,adapt
ap01,c,mismatch,1,0.5360312,adapt
ap01,c,mismatch,1,0.4691202,adapt
ap01,c,mismatch,1,0.5788561,adapt
ap01,c,mismatch,1,0.5326,adapt
ap01,c,mismatch,1,0.5667654,adapt
ap01,c,mismatch,1,0.7434914,adapt
ap01,c,mismatch,1,0.4834582,adapt
ap01,c,mismatch,1,0.3901946,adapt
ap01,c,mismatch,1,0.6209537,adapt
ap01,c,mismatch,1,0.500248,adapt
ap01,c,mismatch,1,0.4117949,adapt
ap01,c,mismatch,1,0.4762106,adapt
ap01,c,mismatch,1,0.4928669,adapt
ap01,c,mismatch,1,0.4217427,adapt
ap01,c,mismatch,1,0.5372665,adapt
ap01,c,mismatch,1,0.5277675,adapt
ap01,c,mismatch,1,0.4352712,adapt
ap01,c,mismatch,1,0.5135581,adapt
ap01,c,mismatch,1,1.277532049,baseline
ap01,c,mismatch,1,0.934379098,baseline
ap01,c,mismatch,1,1.100978304,baseline
ap01,c,mismatch,1,1.514764155,baseline
ap01,c,mismatch,1,0.908744385,baseline
ap01,c,mismatch,1,0.64091049,baseline
ap01,c,mismatch,1,1.362332913,baseline
ap01,c,mismatch,1,0.741115517,baseline
ap01,c,mismatch,1,0.740196485,baseline
ap01,c,mismatch,1,0.580034654,baseline
ap01,c,mismatch,1,0.524514801,baseline
ap01,c,mismatch,1,0.684617729,baseline
ap01,filler,match,1,0.594461,adapt
ap01,filler,match,1,0.748972,adapt
ap01,filler,match,1,0.6680459,adapt
ap01,filler,match,1,0.4330875,adapt
ap01,filler,match,0,1.02041956,baseline
ap01,filler,match,1,0.702886219,baseline
ap01,filler,mismatch,1,0.3774555,adapt
ap01,filler,mismatch,1,0.4441032,adapt
ap01,filler,mismatch,1,0.4535476,adapt
ap01,filler,mismatch,1,0.3998819,adapt
ap01,filler,mismatch,1,1.189898574,baseline
ap01,filler,mismatch,1,0.992926772,baseline
ap01,i,match,1,0.8092633,adapt
ap01,i,match,1,0.6776223,adapt
ap01,i,match,1,0.5244704,adapt
ap01,i,match,1,0.6829048,adapt
ap01,i,match,1,0.6306162,adapt
ap01,i,match,1,0.5293727,adapt
ap01,i,match,1,0.4731448,adapt
ap01,i,match,1,0.6028933,adapt
ap01,i,match,1,0.671538,adapt
ap01,i,match,1,0.4228168,adapt
ap01,i,match,1,0.7294835,adapt
ap01,i,match,1,0.6093977,adapt
ap01,i,match,1,1.0610451,adapt
ap01,i,match,1,0.6740238,adapt
ap01,i,match,1,0.4506963,adapt
ap01,i,match,1,0.4667144,adapt
ap01,i,match,1,0.4735291,adapt
ap01,i,match,1,0.4140208,adapt
ap01,i,match,1,0.5404934,adapt
ap01,i,match,1,0.474139,adapt
ap01,i,match,1,0.3979856,adapt
ap01,i,match,1,0.3996955,adapt
ap01,i,match,1,0.434402,adapt
ap01,i,match,1,0.3783726,adapt
ap01,i,match,1,1.226761029,baseline
ap01,i,match,1,1.023681858,baseline
ap01,i,match,1,1.148730188,baseline
ap01,i,match,1,0.736822801,baseline
ap01,i,match,1,1.039493807,baseline
ap01,i,match,1,1.027924733,baseline
ap01,i,match,1,1.383389082,baseline
ap01,i,match,1,0.62820301,baseline
ap01,i,match,1,0.511359887,baseline
ap01,i,match,1,0.427414999,baseline
ap01,i,match,1,0.874842918,baseline
ap01,i,match,1,0.992382678,baseline
ap01,i,mismatch,1,0.6615215,adapt
ap01,i,mismatch,1,0.7807472,adapt
ap01,i,mismatch,1,0.4717543,adapt
ap01,i,mismatch,1,0.7601404,adapt
ap01,i,mismatch,1,0.7001276,adapt
ap01,i,mismatch,1,0.7587371,adapt
ap01,i,mismatch,1,0.7237486,adapt
