participant,consistency,matching,key_resp_3.corr,key_resp_3.rt,stage
fp01,c,match,1,0.3592671,adapt
fp01,c,match,1,0.3694323,adapt
fp01,c,match,1,0.3946099,adapt
fp01,c,match,1,0.3726257,adapt
fp01,c,match,1,0.3731991,adapt
fp01,c,match,1,0.371478,adapt
fp01,c,match,1,0.3742173,adapt
fp01,c,match,1,0.4488644,adapt
fp01,c,match,1,0.4422609,adapt
fp01,c,match,1,0.3630239,adapt
fp01,c,match,1,0.3189874,adapt
fp01,c,match,1,0.3367181,adapt
fp01,c,match,1,0.3354518,adapt
fp01,c,match,1,0.4390185,adapt
fp01,c,match,1,0.3312767,adapt
fp01,c,match,1,0.3585669,adapt
fp01,c,match,1,0.3486498,adapt
fp01,c,match,0,0.3828216,adapt
fp01,c,match,1,0.3409602,adapt
fp01,c,match,1,0.3951284,adapt
fp01,c,match,1,0.3042912,adapt
fp01,c,match,1,0.3422329,adapt
fp01,c,match,1,0.3868985,adapt
fp01,c,match,1,0.3131307,adapt
fp01,c,match,1,0.3386711,baseline
fp01,c,match,1,0.5115317,baseline
fp01,c,match,1,0.3550282,baseline
fp01,c,match,1,0.4581401,baseline
fp01,c,match,1,0.5644736,baseline
fp01,c,match,1,0.5287366,baseline
fp01,c,match,1,0.3409833,baseline
fp01,c,match,1,0.45492,baseline
fp01,c,match,1,0.433638,baseline
fp01,c,match,1,0.3936638,baseline
fp01,c,match,1,0.536253,baseline
fp01,c,match,1,0.3533864,baseline
fp01,c,match,1,0.5251492,baseline
fp01,c,match,1,0.4042849,baseline
fp01,c,match,1,0.3722645,baseline
fp01,c,match,1,0.3576047,baseline
fp01,c,match,1,0.3913404,baseline
fp01,c,match,1,0.31049,baseline
fp01,c,match,1,0.5114971,baseline
fp01,c,match,1,0.3706187,baseline
fp01,c,match,1,0.5222985,baseline
fp01,c,match,1,0.3611691,baseline
fp01,c,match,1,0.3725935,baseline
fp01,c,match,1,0.3678945,baseline
fp01,c,mismatch,1,0.4146186,adapt
fp01,c,mismatch,1,0.3578866,adapt
fp01,c,mismatch,1,0.3205468,adapt
fp01,c,mismatch,1,0.4151582,adapt
fp01,c,mismatch,1,0.4767788,adapt
fp01,c,mismatch,1,0.3768916,adapt
fp01,c,mismatch,1,0.3628708,adapt
fp01,c,mismatch,1,0.3634428,adapt
fp01,c,mismatch,1,0.5301695,adapt
fp01,c,mismatch,1,0.4310332,adapt
fp01,c,mismatch,1,0.444752,adapt
fp01,c,mismatch,1,0.4868209,adapt
fp01,c,mismatch,1,0.404305,adapt
fp01,c,mismatch,1,0.3548472,adapt
fp01,c,mismatch,0,0.3685779,adapt
fp01,c,mismatch,1,0.4792418,adapt
fp01,c,mismatch,1,0.3391758,adapt
fp01,c,mismatch,1,0.4313702,adapt
fp01,c,mismatch,1,0.4407058,adapt
fp01,c,mismatch,1,0.4343626,adapt
fp01,c,mismatch,1,0.6384845,adapt
fp01,c,mismatch,1,0.4754802,adapt
fp01,c,mismatch,1,0.4752155,adapt
fp01,c,mismatch,1,0.3695447,adapt
fp01,c,mismatch,1,0.4001963,baseline
fp01,c,mismatch,1,0.3852082,baseline
fp01,c,mismatch,1,0.4382908,baseline
fp01,c,mismatch,1,0.3716103,baseline
fp01,c,mismatch,1,0.4981824,baseline
fp01,c,mismatch,1,0.4034959,baseline
fp01,c,mismatch,1,0.4244861,baseline
fp01,c,mismatch,1,0.4740583,baseline
fp01,c,mismatch,1,0.5328612,baseline
fp01,c,mismatch,1,0.4052085,baseline
fp01,c,mismatch,1,0.5311989,baseline
fp01,c,mismatch,1,0.3873757,baseline
fp01,c,mismatch,1,0.4027301,baseline
fp01,c,mismatch,1,0.4254614,baseline
fp01,c,mismatch,1,0.5652588,baseline
fp01,c,mismatch,1,0.3506017,baseline
fp01,c,mismatch,1,0.3498415,baseline
fp01,c,mismatch,1,0.3947802,baseline
fp01,c,mismatch,1,0.394753,baseline
fp01,c,mismatch,1,0.4986227,baseline
fp01,c,mismatch,1,0.4517861,baseline
