participant,consistency,matching,key_resp_3.corr,key_resp_3.rt,stage
pp01,c,match,1,0.5693478,adapt
pp01,c,match,1,0.4849264,adapt
pp01,c,match,1,0.4884472,adapt
pp01,c,match,1,0.6106833,adapt
pp01,c,match,1,0.7093959,adapt
pp01,c,match,1,0.6220884,adapt
pp01,c,match,1,0.5015097,adapt
pp01,c,match,1,0.4455218,adapt
pp01,c,match,1,0.5625923,adapt
pp01,c,match,1,0.4659073,adapt
pp01,c,match,1,0.4186227,adapt
pp01,c,match,1,0.5480199,adapt
pp01,c,match,1,0.4183144,adapt
pp01,c,match,1,0.4768549,adapt
pp01,c,match,1,0.714365,adapt
pp01,c,match,1,0.493065,adapt
pp01,c,match,1,0.4141541,adapt
pp01,c,match,1,0.4992543,adapt
pp01,c,match,1,0.4157474,adapt
pp01,c,match,1,0.6328369,adapt
pp01,c,match,1,0.5184733,adapt
pp01,c,match,1,0.5666613,adapt
pp01,c,match,1,0.4401226,adapt
pp01,c,match,1,0.45983,adapt
pp01,c,match,1,1.0047449,baseline
pp01,c,match,1,0.8680111,baseline
pp01,c,match,1,0.4720409,baseline
pp01,c,match,1,0.5656153,baseline
pp01,c,match,1,0.8644639,baseline
pp01,c,match,1,0.9822548,baseline
pp01,c,match,1,0.6118294,baseline
pp01,c,match,1,0.5691631,baseline
pp01,c,match,1,0.7540093,baseline
pp01,c,match,1,0.6697692,baseline
pp01,c,match,1,0.5699325,baseline
pp01,c,match,1,0.4993438,baseline
pp01,c,match,1,0.4475677,baseline
pp01,c,match,1,0.5745958,baseline
pp01,c,match,1,0.5657741,baseline
pp01,c,match,1,0.5663134,baseline
pp01,c,match,1,0.5807258,baseline
pp01,c,match,1,0.6126162,baseline
pp01,c,match,1,0.5759616,baseline
pp01,c,match,1,0.4889688,baseline
pp01,c,match,1,0.4521428,baseline
pp01,c,match,1,0.4501559,baseline
pp01,c,match,1,0.50187,baseline
pp01,c,match,1,0.5745738,baseline
pp01,c,mismatch,1,0.8387737,adapt
pp01,c,mismatch,1,0.5945959,adapt
pp01,c,mismatch,1,0.7141906,adapt
pp01,c,mismatch,1,0.5968642,adapt
pp01,c,mismatch,1,0.6030404,adapt
pp01,c,mismatch,1,0.4663588,adapt
pp01,c,mismatch,1,0.4677325,adapt
pp01,c,mismatch,1,0.5461752,adapt
pp01,c,mismatch,1,0.5207235,adapt
pp01,c,mismatch,1,0.4700956,adapt
pp01,c,mismatch,1,0.4970146,adapt
pp01,c,mismatch,1,0.5469922,adapt
pp01,c,mismatch,1,0.6546803,adapt
pp01,c,mismatch,1,0.4324088,adapt
pp01,c,mismatch,1,0.674819,adapt
pp01,c,mismatch,1,0.6195581,adapt
pp01,c,mismatch,1,0.4735472,adapt
pp01,c,mismatch,1,0.4677227,adapt
pp01,c,mismatch,1,0.5977326,adapt
pp01,c,mismatch,1,0.6201387,adapt
pp01,c,mismatch,1,0.5680661,adapt
pp01,c,mismatch,1,0.4610523,adapt
pp01,c,mismatch,1,0.4664305,adapt
pp01,c,mismatch,1,0.4175116,adapt
pp01,c,mismatch,1,0.6495008,baseline
pp01,c,mismatch,1,0.6625639,baseline
pp01,c,mismatch,1,0.9500112,baseline
pp01,c,mismatch,1,0.6411539,baseline
pp01,c,mismatch,1,0.4883657,baseline
pp01,c,mismatch,1,1.1533525,baseline
pp01,c,mismatch,1,0.6148206,baseline
pp01,c,mismatch,1,0.6611071,baseline
pp01,c,mismatch,1,0.6012869,baseline
pp01,c,mismatch,1,0.7239299,baseline
pp01,c,mismatch,1,0.7552358,baseline
pp01,c,mismatch,1,0.6736715,baseline
pp01,c,mismatch,1,0.6386565,baseline
pp01,c,mismatch,1,0.4821282,baseline
pp01,c,mismatch,1,0.9546823,baseline
pp01,c,mismatch,1,0.5698654,baseline
pp01,c,mismatch,1,0.6164355,baseline
pp01,c,mismatch,1,0.5326357,baseline
pp01,c,mismatch,1,0.6184332,baseline
pp01,c,mismatch,1,0.661816,baseline
pp01,c,mismatch,1,0.5655004,baseline
pp01,c,mismatch,1,0.4326278,baseline
pp01,c,mismatch,1,0.5329194,baseline
pp01,c,mismatch,1,0.5763734,baseline
pp01,filler,match,1,0.7704086,adapt
pp01,filler,match,1,0.5702433,adapt
pp01,filler,match,0,0.4517827,adapt
pp01,filler,match,1,0.4365101,adapt
pp01,filler,match,1,0.8609377,baseline
pp01,filler,match,1,0.7450153,baseline
pp01,filler,match,1,0.474954,baseline
pp01,filler,match,1,0.6861684,baseline
pp01,filler,mismatch,1,0.5768786,adapt
pp01,filler,mismatch,1,0.6783548,adapt
pp01,filler,mismatch,1,0.4815484,adapt
pp01,filler,mismatch,1,0.3718173,adapt
pp01,filler,mismatch,1,0.766184,baseline
pp01,filler,mismatch,1,0.7599525,baseline
pp01,filler,mismatch,1,0.5963634,baseline
pp01,filler,mismatch,1,0.5656355,baseline
pp01,i,match,1,1.054915,adapt
pp01,i,match,1,0.5787309,adapt
pp01,i,match,1,0.6136616,adapt
pp01,i,match,1,0.5354526,adapt
pp01,i,match,1,0.6438647,adapt
