subid,facing,consistency,type,ACC,RT,headNum,headOne,headAll,PorFNum,PorFOne,PorFAll,leftNum,leftOne,leftAll,rightNum,rightOne,rightAll,atNum,atOne,atAll,againstNum,againstOne,againstAll
2301,R,i2,fan,1,0.8561819,0,,,0,,,0,,,1,[0.5497235999991972],0.5497236,1,[0.5497235999991972],0.5497236,0,,
2301,L,i1,person,0,0.5082239,0,,,0,,,0,,,2,"[0.3149757999999565, 0.19839870000032533]",0.5133745,0,,,2,"[0.3149757999999565, 0.19839870000032533]",0.5133745
2301,L,i2,person,1,0.4809704,0,,,0,,,0,,,1,[0.16630170000007638],0.1663017,0,,,1,[0.16630170000007638],0.1663017
2301,R,i2,person,1,0.8616508,0,,,0,,,0,,,1,[0.5670036000001346],0.5670036,1,[0.5670036000001346],0.5670036,0,,
2301,L,c,person,1,0.5042606,0,,,0,,,1,[0.21519029999944905],0.2151903,1,[0.3165816000000632],0.3165816,1,[0.21519029999944905],0.2151903,1,[0.3165816000000632],0.3165816
2301,R,i1,fan,1,0.714455,1,[0.0174235000004046],0.0174235,1,[0.01743830000032176],0.0174383,2,"[0.3156679999992775, 0.36676839999927324]",0.6824364,0,,,0,,,2,"[0.3156679999992775, 0.36676839999927324]",0.6824364
2301,L,c,fan,1,0.6664527,1,[0.03409589999955642],0.0340959,1,[0.03428460000031919],0.0342846,1,[0.33318640000015876],0.3331864,1,[0.31551540000054956],0.3155154,1,[0.33318640000015876],0.3331864,1,[0.31551540000054956],0.3155154
2301,R,c,fan,1,0.6409037,0,,,0,,,0,,,1,[0.3494678000006388],0.3494678,1,[0.3494678000006388],0.3494678,0,,
2301,R,c,person,1,0.4342019,0,,,0,,,0,,,1,[0.1506928999997399],0.1506929,1,[0.1506928999997399],0.1506929,0,,
2301,L,c,person,1,0.376181,0,,,0,,,1,[0.08333779999975377],0.0833378,0,,,1,[0.08333779999975377],0.0833378,0,,
2301,R,c,person,1,0.6380074,0,,,0,,,0,,,1,[0.34973770000033255],0.3497377,1,[0.34973770000033255],0.3497377,0,,
2301,L,i2,fan,1,0.613224,1,[0.2500700999999026],0.2500701,1,[0.25003409999953874],0.2500341,0,,,0,,,0,,,0,,
2301,R,c,fan,1,0.5543109,0,,,0,,,0,,,1,[0.26695509999990463],0.2669551,1,[0.26695509999990463],0.2669551,0,,
2301,R,i1,person,1,0.5016818,1,[0.3177856000002066],0.3177856,1,[0.3177196999995431],0.3177197,1,[0.23305299999992712],0.233053,0,,,0,,,1,[0.23305299999992712],0.233053
2301,L,i2,person,1,0.4008948,0,,,0,,,0,,,1,[0.08285739999973885],0.0828574,0,,,1,[0.08285739999973885],0.0828574
2301,L,c,fan,1,0.668187,1,[0.016817100000480423],0.0168171,1,[0.017048199999408098],0.0170482,1,[0.35041589999946154],0.3504159,0,,,1,[0.35041589999946154],0.3504159,0,,
2301,L,i1,fan,1,0.4958988,1,[0.3180078000004869],0.3180078,1,[0.3176296999999977],0.3176297,0,,,1,[0.1984720999998899],0.1984721,0,,,1,[0.1984720999998899],0.1984721
2301,R,i1,fan,1,0.6259044,1,[5.199999577598646e-06],5.20E-06,1,[4.900000021734741e-06],4.90E-06,1,[0.3158337000004394],0.3158337,0,,,0,,,1,[0.3158337000004394],0.3158337
2301,L,c,fan,1,0.3779838,0,,,0,,,1,[0.08151620000080584],0.0815162,0,,,1,[0.08151620000080584],0.0815162,0,,
2301,L,i2,fan,1,1.1288149,2,"[0.01666509999995469, 0.2158884999998918]",0.2325536,2,"[0.01665899999989051, 0.21569090000048163]",0.2323499,1,[0.2672238000004654],0.2672238,1,[0.31644390000019484],0.3164439,1,[0.2672238000004654],0.2672238,1,[0.31644390000019484],0.3164439
2301,R,i1,person,1,0.9520279,0,,,0,,,1,[0.6665939000004073],0.6665939,1,[0.31527619999997114],0.3152762,1,[0.31527619999997114],0.3152762,1,[0.6665939000004073],0.6665939
2301,R,c,fan,1,0.5177959,1,[0.5349557999998069],0.5349558,1,[0.5345795999992333],0.5345796,0,,,0,,,0,,,0,,
2301,L,c,person,1,0.6086302,0,,,0,,,1,[0.2995355000002746],0.2995355,0,,,1,[0.2995355000002746],0.2995355,0,,
2301,R,c,person,1,0.5822556,0,,,0,,,0,,,1,[0.28369089999978314],0.2836909,1,[0.28369089999978314],0.2836909,0,,
2301,L,i1,person,1,0.6322049,0,,,0,,,0,,,1,[0.3008665999996083],0.3008666,0,,,1,[0.3008665999996083],0.3008666
2301,R,i1,fan,1,0.377021,1,[0.06675660000018979],0.0667566,1,[0.06687300000066898],0.066873,0,,,0,,,0,,,0,,
2301,R,c,fan,1,0.4812851,1,[0.31764119999934337],0.3176412,1,[0.31748769999921933],0.3174877,0,,,1,[0.16487400000005437],0.164874,1,[0.16487400000005437],0.164874,0,,
2301,R,c,person,1,0.4378734,0,,,0,,,0,,,1,[0.13331040000048233],0.1333104,1,[0.13331040000048233],0.1333104,0,,
2301,L,c,person,1,0.409636,0,,,0,,,2,"[0.015718000000561005, 0.0989278999995804]",0.1146459,0,,,2,"[0.015718000000561005, 0.0989278999995804]",0.1146459,0,,
2301,L,c,person,1,0.4979304,1,[0.03281559999959427],0.0328156,1,[0.03272350000042934],0.0327235,1,[0.15069880000010016],0.1506988,0,,,1,[0.15069880000010016],0.1506988,0,,
2301,L,i2,fan,1,1.1506939,1,[0.6170823999991626],0.6170824,1,[0.6170235999998113],0.6170236,1,[0.23245509999924252],0.2324551,0,,,1,[0.23245509999924252],0.2324551,0,,
2301,L,c,fan,1,0.801428,0,,,0,,,1,[0.48212770000009186],0.4821277,0,,,1,[0.48212770000009186],0.4821277,0,,
2301,R,c,person,1,0.5981441,1,[0.316874000000098],0.316874,1,[0.31645109999954],0.3164511,0,,,1,[0.283064899999772],0.2830649,1,[0.283064899999772],0.2830649,0,,
