"participant","trial_num","consistency","matching","key_resp_3.corr","key_resp_3.rt","stage"
"fp01","1","i","match",1,0.4172128,"adapt"
"fp01","2","i","match",1,0.3573522,"adapt"
"fp01","3","c","match",1,0.3592671,"adapt"
"fp01","4","c","match",1,0.3694323,"adapt"
"fp01","5","i","mismatch",1,0.2848158,"adapt"
"fp01","6","i","match",1,0.3384929,"adapt"
"fp01","7","c","match",1,0.3946099,"adapt"
"fp01","8","filler","mismatch",1,0.3155613,"adapt"
"fp01","9","c","mismatch",1,0.4146186,"adapt"
"fp01","10","c","match",1,0.3726257,"adapt"
"fp01","11","i","match",1,0.3392405,"adapt"
"fp01","12","c","mismatch",1,0.3578866,"adapt"
"fp01","13","i","mismatch",1,0.4805953,"adapt"
"fp01","14","c","match",1,0.3731991,"adapt"
"fp01","15","i","mismatch",0,0.3513824,"adapt"
"fp01","16","c","match",1,0.371478,"adapt"
"fp01","17","filler","match",1,0.7663489,"adapt"
"fp01","18","i","match",1,0.3693219,"adapt"
"fp01","19","i","match",1,0.314911,"adapt"
"fp01","20","c","match",1,0.3742173,"adapt"
"fp01","21","filler","match",0,0.3524557,"adapt"
"fp01","22","c","mismatch",1,0.3205468,"adapt"
"fp01","23","c","mismatch",1,0.4151582,"adapt"
"fp01","24","i","match",1,0.8568915,"adapt"
"fp01","25","c","mismatch",1,0.4767788,"adapt"
"fp01","26","i","mismatch",1,0.9497835,"adapt"
"fp01","27","c","mismatch",1,0.3768916,"adapt"
"fp01","28","i","mismatch",1,0.4325749,"adapt"
"fp01","29","i","match",1,0.4671913,"adapt"
"fp01","30","c","match",1,0.4488644,"adapt"
"fp01","31","i","match",1,0.4246091,"adapt"
"fp01","32","c","mismatch",1,0.3628708,"adapt"
"fp01","33","i","mismatch",1,0.4075409,"adapt"
"fp01","34","i","mismatch",1,0.4078651,"adapt"
"fp01","35","i","mismatch",1,0.5241941,"adapt"
"fp01","36","c","mismatch",1,0.3634428,"adapt"
"fp01","37","i","mismatch",1,0.4965437,"adapt"
"fp01","38","i","mismatch",1,0.3439624,"adapt"
"fp01","39","i","mismatch",1,0.91217,"adapt"
"fp01","40","c","mismatch",1,0.5301695,"adapt"
"fp01","41","c","match",1,0.4422609,"adapt"
"fp01","42","c","match",1,0.3630239,"adapt"
"fp01","43","i","match",1,0.3316109,"adapt"
"fp01","44","c","mismatch",1,0.4310332,"adapt"
"fp01","45","c","mismatch",1,0.444752,"adapt"
"fp01","46","i","match",0,0.3414558,"adapt"
"fp01","47","c","match",1,0.3189874,"adapt"
"fp01","48","i","match",1,0.3928432,"adapt"
"fp01","49","c","match",1,0.3367181,"adapt"
"fp01","50","i","mismatch",1,0.9442093,"adapt"
"fp01","51","c","mismatch",1,0.4868209,"adapt"
"fp01","52","filler","mismatch",1,0.3586965,"adapt"
"fp01","53","c","match",1,0.3354518,"adapt"
"fp01","54","c","match",1,0.4390185,"adapt"
"fp01","55","i","mismatch",1,0.4588926,"adapt"
"fp01","56","i","mismatch",1,0.5291515,"adapt"
"fp01","57","i","match",1,0.3690828,"adapt"
"fp01","58","c","match",1,0.3312767,"adapt"
"fp01","59","i","match",1,0.3767747,"adapt"
"fp01","60","i","match",1,0.3679685,"adapt"
"fp01","61","filler","mismatch",1,0.4460262,"adapt"
"fp01","62","c","match",1,0.3585669,"adapt"
"fp01","63","i","match",1,0.3582623,"adapt"
"fp01","64","i","mismatch",1,0.4496554,"adapt"
"fp01","65","filler","match",1,0.8353481,"adapt"
"fp01","66","i","match",1,0.339102,"adapt"
"fp01","67","c","match",1,0.3486498,"adapt"
"fp01","68","c","match",0,0.3828216,"adapt"
"fp01","69","i","match",1,0.322631,"adapt"
"fp01","70","i","mismatch",1,0.4148581,"adapt"
"fp01","71","c","match",1,0.3409602,"adapt"
"fp01","72","c","mismatch",1,0.404305,"adapt"
"fp01","73","i","mismatch",1,0.3709245,"adapt"
"fp01","74","i","mismatch",1,0.4745643,"adapt"
"fp01","75","i","match",1,0.3650328,"adapt"
"fp01","76","c","mismatch",1,0.3548472,"adapt"
"fp01","77","c","mismatch",0,0.3685779,"adapt"
"fp01","78","filler","match",1,0.6577227,"adapt"
"fp01","79","i","match",1,0.3423452,"adapt"
"fp01","80","i","mismatch",1,0.4129199,"adapt"
"fp01","81","i","mismatch",1,0.696633,"adapt"
"fp01","82","c","mismatch",1,0.4792418,"adapt"
"fp01","83","c","mismatch",1,0.3391758,"adapt"
"fp01","84","i","match",1,0.3803415,"adapt"
"fp01","85","c","mismatch",1,0.4313702,"adapt"
"fp01","86","c","match",1,0.3951284,"adapt"
"fp01","87","i","mismatch",1,0.3778542,"adapt"
"fp01","88","filler","mismatch",1,0.308726,"adapt"
"fp01","89","c","match",1,0.3042912,"adapt"
"fp01","90","c","mismatch",1,0.4407058,"adapt"
"fp01","91","i","match",1,0.5361295,"adapt"
"fp01","92","i","mismatch",1,0.6359847,"adapt"
"fp01","93","c","match",1,0.3422329,"adapt"
"fp01","94","c","mismatch",1,0.4343626,"adapt"
"fp01","95","i","match",1,0.3867108,"adapt"
"fp01","96","i","mismatch",1,0.4525496,"adapt"
