"participant","trial_num","consistency","matching","key_resp_3.corr","key_resp_3.rt","stage"
"pp01","1","i","match",1,1.054915,"adapt"
"pp01","2","i","match",1,0.5787309,"adapt"
"pp01","3","c","match",1,0.5693478,"adapt"
"pp01","4","c","match",1,0.4849264,"adapt"
"pp01","5","i","mismatch",1,0.5371349,"adapt"
"pp01","6","i","match",1,0.6136616,"adapt"
"pp01","7","c","match",1,0.4884472,"adapt"
"pp01","8","filler","mismatch",1,0.5768786,"adapt"
"pp01","9","c","mismatch",1,0.8387737,"adapt"
"pp01","10","c","match",1,0.6106833,"adapt"
"pp01","11","i","match",1,0.5354526,"adapt"
"pp01","12","c","mismatch",1,0.5945959,"adapt"
"pp01","13","i","mismatch",1,0.712316,"adapt"
"pp01","14","c","match",1,0.7093959,"adapt"
"pp01","15","i","mismatch",1,0.6430338,"adapt"
"pp01","16","c","match",1,0.6220884,"adapt"
"pp01","17","filler","match",1,0.7704086,"adapt"
"pp01","18","i","match",1,0.6438647,"adapt"
"pp01","19","i","match",1,0.6331917,"adapt"
"pp01","20","c","match",1,0.5015097,"adapt"
"pp01","21","filler","match",1,0.5702433,"adapt"
"pp01","22","c","mismatch",1,0.7141906,"adapt"
"pp01","23","c","mismatch",1,0.5968642,"adapt"
"pp01","24","i","match",1,0.5570739,"adapt"
"pp01","25","c","mismatch",1,0.6030404,"adapt"
"pp01","26","i","mismatch",1,0.5896609,"adapt"
"pp01","27","c","mismatch",1,0.4663588,"adapt"
"pp01","28","i","mismatch",1,0.4906953,"adapt"
"pp01","29","i","match",1,0.4963745,"adapt"
"pp01","30","c","match",1,0.4455218,"adapt"
"pp01","31","i","match",1,0.4389978,"adapt"
"pp01","32","c","mismatch",1,0.4677325,"adapt"
"pp01","33","i","mismatch",1,0.4270167,"adapt"
"pp01","34","i","mismatch",1,0.5384671,"adapt"
"pp01","35","i","mismatch",1,0.719688,"adapt"
"pp01","36","c","mismatch",1,0.5461752,"adapt"
"pp01","37","i","mismatch",1,0.5457043,"adapt"
"pp01","38","i","mismatch",1,0.6652775,"adapt"
"pp01","39","i","mismatch",1,0.4472066,"adapt"
"pp01","40","c","mismatch",1,0.5207235,"adapt"
"pp01","41","c","match",1,0.5625923,"adapt"
"pp01","42","c","match",1,0.4659073,"adapt"
"pp01","43","i","match",1,0.5214477,"adapt"
"pp01","44","c","mismatch",1,0.4700956,"adapt"
"pp01","45","c","mismatch",1,0.4970146,"adapt"
"pp01","46","i","match",1,0.4709197,"adapt"
"pp01","47","c","match",1,0.4186227,"adapt"
"pp01","48","i","match",1,0.4601176,"adapt"
"pp01","49","c","match",1,0.5480199,"adapt"
"pp01","50","i","mismatch",1,0.6443255,"adapt"
"pp01","51","c","mismatch",1,0.5469922,"adapt"
"pp01","52","filler","mismatch",1,0.6783548,"adapt"
"pp01","53","c","match",1,0.4183144,"adapt"
"pp01","54","c","match",1,0.4768549,"adapt"
"pp01","55","i","mismatch",1,0.5723274,"adapt"
"pp01","56","i","mismatch",1,0.4859505,"adapt"
"pp01","57","i","match",1,0.5798498,"adapt"
"pp01","58","c","match",1,0.714365,"adapt"
"pp01","59","i","match",1,0.4230822,"adapt"
"pp01","60","i","match",1,0.4719832,"adapt"
"pp01","61","filler","mismatch",1,0.4815484,"adapt"
"pp01","62","c","match",1,0.493065,"adapt"
"pp01","63","i","match",1,0.4163814,"adapt"
"pp01","64","i","mismatch",1,0.3552669,"adapt"
"pp01","65","filler","match",0,0.4517827,"adapt"
"pp01","66","i","match",1,0.4903694,"adapt"
"pp01","67","c","match",1,0.4141541,"adapt"
"pp01","68","c","match",1,0.4992543,"adapt"
"pp01","69","i","match",1,0.6721377,"adapt"
"pp01","70","i","mismatch",1,0.8275001,"adapt"
"pp01","71","c","match",1,0.4157474,"adapt"
"pp01","72","c","mismatch",1,0.6546803,"adapt"
"pp01","73","i","mismatch",1,0.485158,"adapt"
"pp01","74","i","mismatch",1,0.4662474,"adapt"
"pp01","75","i","match",1,0.4363852,"adapt"
"pp01","76","c","mismatch",1,0.4324088,"adapt"
"pp01","77","c","mismatch",1,0.674819,"adapt"
"pp01","78","filler","match",1,0.4365101,"adapt"
"pp01","79","i","match",1,0.4975347,"adapt"
"pp01","80","i","mismatch",1,0.3980084,"adapt"
"pp01","81","i","mismatch",1,0.5776292,"adapt"
"pp01","82","c","mismatch",1,0.6195581,"adapt"
"pp01","83","c","mismatch",1,0.4735472,"adapt"
"pp01","84","i","match",1,0.4319212,"adapt"
"pp01","85","c","mismatch",1,0.4677227,"adapt"
"pp01","86","c","match",1,0.6328369,"adapt"
"pp01","87","i","mismatch",1,0.4359927,"adapt"
"pp01","88","filler","mismatch",1,0.3718173,"adapt"
"pp01","89","c","match",1,0.5184733,"adapt"
"pp01","90","c","mismatch",1,0.5977326,"adapt"
"pp01","91","i","match",1,0.3434815,"adapt"
"pp01","92","i","mismatch",1,0.3457981,"adapt"
"pp01","93","c","match",1,0.5666613,"adapt"
"pp01","94","c","mismatch",1,0.6201387,"adapt"
"pp01","95","i","match",1,0.4922662,"adapt"
"pp01","96","i","mismatch",1,0.3785665,"adapt"
"pp01","97","c","mismatch",1,0.5680661,"adapt"
"pp01","98","c","mismatch",1,0.4610523,"adapt"
"pp01","99","c","mismatch",1,0.4664305,"adapt"
"pp01","100","i","mismatch",1,0.4638614,"adapt"
"pp01","101","i","match",1,0.4707051,"adapt"
"pp01","102","c","match",1,0.4401226,"adapt"
"pp01","103","c","mismatch",1,0.4175116,"adapt"
"pp01","104","c","match",1,0.45983,"adapt"
"pp01","105","i","match",1,0.4933637,"baseline"
"pp01","106","i","match",1,0.5995404,"baseline"
"pp01","107","c","match",1,1.0047449,"baseline"
"pp01","108","c","match",1,0.8680111,"baseline"
"pp01","109","i","mismatch",1,0.6267425,"baseline"
"pp01","110","i","match",1,0.5181367,"baseline"
"pp01","111","c","match",1,0.4720409,"baseline"
"pp01","112","filler","mismatch",1,0.766184,"baseline"
"pp01","113","c","mismatch",1,0.6495008,"baseline"
"pp01","114","c","match",1,0.5656153,"baseline"
"pp01","115","i","match",1,0.5163795,"baseline"
"pp01","116","c","mismatch",1,0.6625639,"baseline"
"pp01","117","i","mismatch",1,1.0053944,"baseline"
"pp01","118","c","match",1,0.8644639,"baseline"
"pp01","119","i","mismatch",1,0.4907542,"baseline"
"pp01","120","c","match",1,0.9822548,"baseline"
"pp01","121","filler","match",1,0.8609377,"baseline"
"pp01","122","i","match",1,0.6016364,"baseline"
"pp01","123","i","match",1,0.9493774,"baseline"
"pp01","124","c","match",1,0.6118294,"baseline"
"pp01","125","filler","match",1,0.7450153,"baseline"
"pp01","126","c","mismatch",1,0.9500112,"baseline"
"pp01","127","c","mismatch",1,0.6411539,"baseline"
"pp01","128","i","match",1,0.8661396,"baseline"
"pp01","129","c","mismatch",1,0.4883657,"baseline"
"pp01","130","i","mismatch",0,0.6099823,"baseline"
"pp01","131","c","mismatch",1,1.1533525,"baseline"
"pp01","132","i","mismatch",1,0.989308,"baseline"
"pp01","133","i","match",1,0.4877385,"baseline"
"pp01","134","c","match",1,0.5691631,"baseline"
"pp01","135","i","match",1,0.4768593,"baseline"
"pp01","136","c","mismatch",1,0.6148206,"baseline"
"pp01","137","i","mismatch",1,0.9016804,"baseline"
"pp01","138","i","mismatch",1,0.8131938,"baseline"
"pp01","139","i","mismatch",1,0.9564673,"baseline"
"pp01","140","c","mismatch",1,0.6611071,"baseline"
"pp01","141","i","mismatch",1,0.6034172,"baseline"
"pp01","142","i","mismatch",1,0.5226009,"baseline"
"pp01","143","i","mismatch",1,0.6181483,"baseline"
"pp01","144","c","mismatch",1,0.6012869,"baseline"
"pp01","145","c","match",1,0.7540093,"baseline"
"pp01","146","c","match",1,0.6697692,"baseline"
"pp01","147","i","match",1,0.4785863,"baseline"
"pp01","148","c","mismatch",1,0.7239299,"baseline"
"pp01","149","c","mismatch",1,0.7552358,"baseline"
"pp01","150","i","match",1,0.6529791,"baseline"
"pp01","151","c","match",1,0.5699325,"baseline"
"pp01","152","i","match",1,0.48479,"baseline"
"pp01","153","c","match",1,0.4993438,"baseline"
"pp01","154","i","mismatch",1,0.5246581,"baseline"
"pp01","155","c","mismatch",1,0.6736715,"baseline"
"pp01","156","filler","mismatch",1,0.7599525,"baseline"
"pp01","157","c","match",1,0.4475677,"baseline"
"pp01","158","c","match",1,0.5745958,"baseline"
"pp01","159","i","mismatch",1,0.6634323,"baseline"
"pp01","160","i","mismatch",1,0.5089236,"baseline"
"pp01","161","i","match",1,0.5235854,"baseline"
"pp01","162","c","match",1,0.5657741,"baseline"
"pp01","163","i","match",1,0.733814,"baseline"
"pp01","164","i","match",1,0.4664631,"baseline"
"pp01","165","filler","mismatch",1,0.5963634,"baseline"
"pp01","166","c","match",1,0.5663134,"baseline"
"pp01","167","i","match",1,0.5002603,"baseline"
"pp01","168","i","mismatch",1,0.6665574,"baseline"
"pp01","169","filler","match",1,0.474954,"baseline"
"pp01","170","i","match",1,0.6046616,"baseline"
