subid,trial,consistency,type,gaze_x,gaze_y,bias
2301,1,i2,fan,-1.636161804,-7.67213726,0
2301,2,i1,person,434.6930542,35.9256134,-1
2301,5,i2,person,363.2688904,20.41043091,-1
2301,9,i2,person,-29.05139923,33.08940506,0
2301,10,c,person,-454.7445374,-2.191772461,1
2301,11,i1,fan,1.497459412,18.57200241,0
2301,15,c,fan,-483.3861389,8.527397156,1
2301,17,c,fan,-339.2628479,3.323450089,1
2301,18,c,person,-409.9711914,-7.622956276,1
2301,19,c,person,-463.7254639,7.155865669,1
2301,23,c,person,-380.3695679,-24.74910736,1
2301,24,i2,fan,-11.94253922,-60.14982605,0
2301,27,c,fan,-403.1231689,-2.781236172,1
2301,29,i1,person,480.0908813,5.252065659,-1
2301,32,i2,person,-70.64970398,-19.02235413,0
2301,34,c,fan,-190.356842,-17.3813591,0
2301,35,i1,fan,354.8411255,-0.619590282,-1
2301,37,i1,fan,252.1021881,-0.365252495,-1
2301,40,c,fan,-491.1134338,-7.174115181,1
2301,41,filler,fan,63.44970703,-7.405278683,0
2301,43,i2,fan,-144.0496979,-37.98065948,0
2301,45,filler,person,0.557899475,-2.482738495,0
2301,47,i1,person,368.2069702,-6.317052841,-1
2301,49,c,fan,38.72686386,3.921861649,0
2301,51,c,person,-21.51735306,-24.20624924,0
2301,52,c,person,-343.7626648,14.46822166,1
2301,53,i1,person,381.8811035,39.01072311,-1
2301,55,i1,fan,-46.92935944,-16.57112694,0
2301,58,c,fan,-210.8739929,-13.59831715,0
2301,60,c,person,-512.8467407,-29.88433647,1
2301,62,c,person,-312.7766418,2.513991594,1
2301,63,c,person,18.81729126,-2.693881989,0
2301,65,i2,fan,-434.4902954,18.69408417,1
2301,66,filler,fan,129.0123291,40.56826019,0
2301,68,c,fan,-50.14583588,6.81961298,0
2301,71,c,person,-27.04387665,-5.475858688,0
2301,72,i1,person,131.2139587,0.125012398,0
2301,74,c,fan,-211.1571045,-15.60031796,0
2301,75,i1,person,192.8248291,-21.18103981,0
2301,76,c,person,-163.4131622,-19.77513313,0
2301,78,i2,person,366.3580627,2.072618008,-1
2301,79,i2,fan,-20.67443848,-15.66272736,0
2301,82,i2,fan,0.214233398,0.759794712,0
2301,83,c,fan,-383.0702515,-30.94826126,1
2301,87,i1,fan,64.75444794,-0.553607941,0
2301,88,c,fan,-414.6090393,-1.688053608,1
2301,89,filler,person,14.92824554,8.520605087,0
2301,91,i1,fan,70.04459381,8.950616837,0
2301,93,i2,person,30.10562897,-8.172411919,0
2301,96,c,fan,-380.2680054,-5.361499786,1
2301,100,c,person,-403.19104,-28.95723534,1
2301,101,i2,person,-26.7755127,20.60464478,0
2301,106,c,person,-386.5965271,-2.831254005,1
2301,107,filler,person,22.22557068,-12.06640053,0
2301,111,c,person,-111.1998367,-23.99227333,0
2301,114,c,fan,-276.0758972,1.210727692,1
2301,116,c,fan,-35.6552124,-0.088384151,0
2301,117,c,person,1.945724487,24.33364487,0
2301,120,i1,fan,480.6123657,-31.94527054,-1
2301,121,i1,person,316.7610779,-10.42955494,-1
2301,122,i1,fan,157.9551849,16.80039215,0
2301,124,i2,person,5.917797089,21.90394974,0
2301,125,c,fan,-378.7505188,26.69133759,1
2301,127,i1,fan,-37.56969452,16.31276703,0
2301,131,i2,fan,27.33987808,-8.728337288,0
2301,132,i1,person,308.8573914,-5.895795822,-1
2301,136,c,person,-392.3572388,14.68216515,1
2301,138,c,fan,-312.1369019,-2.813969851,1
2301,139,i2,person,-143.2186279,44.17604828,0
2301,141,c,person,-359.46875,10.63847733,1
2301,143,i2,fan,0.037078857,-22.28252602,0
2301,145,c,person,-412.695343,7.905585766,1
2301,146,c,fan,4.727325439,-20.40083885,0
2301,149,i2,fan,-15.93584061,2.884683609,0
2301,150,c,fan,-305.9085693,3.21420908,1
2301,151,i1,person,10.26145935,10.18059254,0
2301,153,i2,person,-167.9485168,-13.65802288,0
2301,156,filler,fan,12.86224365,-60.16791534,0
2301,158,i1,fan,229.2079926,-20.05904961,0
2301,161,c,fan,-169.0834808,-37.99874878,0
2301,164,i2,fan,75.91907501,26.37352753,0
2301,165,c,person,-471.2144775,-56.19757843,1
2301,166,filler,fan,225.9078674,17.27047539,0
2301,168,i1,person,328.3804321,34.20772552,-1
2301,169,i2,fan,2.110290527,26.20097733,0
2301,172,c,fan,-358.52948,5.365812778,1
2301,175,i2,fan,-37.48008728,15.69903374,0
2301,176,c,fan,-37.45147705,0.219061375,0
2301,178,i2,person,-14.69478607,-2.7876091,0
2301,180,c,fan,-277.2147522,39.7089119,1
2301,181,i1,person,71.72235107,-32.83374786,0
2301,185,filler,person,11.65752411,6.014338493,0
2301,188,c,fan,1.348686218,21.29555893,0
2301,190,i2,person,-294.9451294,-40.28575897,1
2301,191,c,fan,-403.6758118,-29.12911224,1
2301,193,c,person,-421.1511536,-23.43757248,1
2301,196,c,person,-425.8270874,-46.24110031,1
2301,197,i1,person,417.4216003,-32.53589249,-1
2301,200,c,person,-407.8348694,20.96983147,1
2301,201,i1,fan,386.2923584,60.80887604,-1
2301,203,i2,person,10.58315277,4.064254761,0
2301,204,i1,fan,371.1693726,-3.644800186,-1
2301,206,c,person,26.12228394,91.83177948,0
2301,207,c,person,-411.153656,16.70808029,1
2302,1,i2,fan,-152.9273987,13.45724297,0
2302,2,i1,person,203.2550812,-47.10643387,0
2302,5,i2,person,45.85601807,-28.14645767,0
2302,9,i2,person,-36.8693161,-10.80533218,0
2302,10,c,person,-343.5357361,-36.90891266,1
2302,11,i1,fan,387.3993835,54.60602188,-1
2302,15,c,fan,-111.8513489,-19.91540146,0
2302,17,c,fan,-508.7540894,62.35839844,1
2302,18,c,person,-177.2723083,23.02223587,0
2302,19,c,person,-46.27155304,-7.964873314,0
2302,23,c,person,-33.10821533,12.72139549,0
2302,24,i2,fan,-11.33960724,-16.28875542,0
2302,27,c,fan,-488.3156128,62.10689163,1
2302,29,i1,person,-18.27495575,43.06155777,0
2302,32,i2,person,113.446312,-17.83132553,0
2302,34,c,fan,63.77643585,-8.297681808,0
2302,35,i1,fan,35.79013824,-18.53743362,0
2302,37,i1,fan,-43.57818604,12.63957787,0
2302,40,c,fan,27.8352356,-3.107607365,0
2302,41,filler,fan,89.18769836,-16.17166138,0
2302,43,i2,fan,26.25034332,-14.45264339,0
2302,45,filler,person,67.50572205,-14.78648186,0
2302,47,i1,person,-41.66507721,21.20260429,0
2302,49,c,fan,-62.02777863,-3.153119087,0
2302,51,c,person,73.69937897,-5.548245907,0
2302,52,c,person,-127.1690369,-4.957752228,0
2302,53,i1,person,498.378418,-0.444302559,-1
2302,55,i1,fan,-53.47446442,0.107696056,0
2302,58,c,fan,-76.16054535,-0.982460976,0
2302,60,c,person,-33.86764526,-1.303875446,0
2302,62,c,person,55.2350235,6.487737656,0
2302,63,c,person,71.84005737,5.62507534,0
2302,65,i2,fan,-5.245742798,12.48546791,0
2302,66,filler,fan,27.37918854,-14.5156002,0
2302,68,c,fan,92.71751404,5.472961426,0
2302,71,c,person,-97.84721375,10.20054817,0
2302,72,i1,person,-42.20523834,-4.058010578,0
2302,74,c,fan,-29.21138763,-9.749486923,0
2302,75,i1,person,20.94486237,6.32748127,0
2302,76,c,person,-184.9849854,-18.74291229,0
