subid,RT_person_c,RT_person_i1,RT_person_i2,RT_fan_c,RT_fan_i1,RT_fan_i2,headAll_person_c,headAll_person_i1,headAll_person_i2,headAll_fan_c,headAll_fan_i1,headAll_fan_i2,PorFAll_person_c,PorFAll_person_i1,PorFAll_person_i2,PorFAll_fan_c,PorFAll_fan_i1,PorFAll_fan_i2,atAll_person_c,atAll_person_i1,atAll_person_i2,atAll_fan_c,atAll_fan_i1,atAll_fan_i2,againstAll_person_c,againstAll_person_i1,againstAll_person_i2,againstAll_fan_c,againstAll_fan_i1,againstAll_fan_i2
2200,0.471253383,0.493159082,0.483337827,0.510110629,0.463364467,0.513997383,0.262324291,0.141160775,0.15928674,0.140945183,0.204047813,0.1419148,0.271147136,0.161602775,0.1590545,0.185331769,0.270188625,0.149408486,0.212349679,0.3082207,0.36189308,0.239606862,0.16837675,0.16543348,0.3166859,0.27812161,0.272812767,0.31794545,0.1888124,0.241059186
2201,0.456726365,0.46001024,0.494142592,0.475879832,0.518470033,0.493843467,0.04657358,0.261307033,0.037019075,0.123450322,0.2272361,0.1045549,0.0465893,0.2784546,0.052141167,0.126930533,0.226723767,0.107005229,0.141030995,0.31780745,0.2134103,0.173990012,0.31652205,0.13362325,0.24126635,0.13327205,0.256913457,0.316593325,0.208622425,0.288653286
2202,0.432186827,0.533151983,0.478323792,0.46987705,0.468319283,0.470046358,0.1887356,0.173806,0.083316175,0.146576878,0.217169683,0.23375545,0.190691071,0.215507233,0.07315262,0.191338745,0.228248383,0.2417126,0.132285727,0.31652095,0.299819675,0.204543172,0.31676315,0.13883622,0.31639495,0.337447433,0.21374865,0.31679265,0.1713528,0.26329835
2203,0.517513104,0.645374,0.691976525,0.526697704,0.562165091,0.564207475,0.1553867,0.142853229,0.050140556,0.149877788,0.180901229,0.095671925,0.144532069,0.142792443,0.084958867,0.133157678,0.185516157,0.1297725,0.243244621,0.315662,0.31099625,0.22789797,0.3154464,0.1766944,0.3150892,0.371924558,0.289049222,0.31557144,0.23022724,0.32920612
2301,0.467969017,0.52496341,0.608590517,0.554295052,0.574348908,0.678916927,0.18004761,0.3177856,0.197665,0.2528069,0.214392671,0.266611,0.17990145,0.3177197,0.197523413,0.252741643,0.214160543,0.266449886,0.189520641,0.315875833,0.277835833,0.230058195,0.315574767,0.30998424,0.3165816,0.2680876,0.30784095,0.315665467,0.350921391,0.23622168
2302,0.64157143,0.626932655,0.629577725,0.542529963,0.586551218,0.6149385,0.397565775,0.35627556,0.430510858,0.388409727,0.365161236,0.293468527,0.411489635,0.35620588,0.430249675,0.388080127,0.364997018,0.293360136,0.335009686,0,0.25714425,0.321423067,0,0.2847459,0.315887367,0.2830733,0,0,0.1581509,0.28371135
2303,0.650280763,0.68840429,0.70570316,0.731540457,0.663447482,0.732404491,0.246500367,0.15737492,0.1532666,0.33829545,0.250229733,0.198262878,0.22327184,0.15712712,0.154920267,0.337899414,0.250147533,0.199936356,0.271622014,0,0.253682475,0.334307958,0.3170644,0.37620185,0,0.321584589,0.341126125,0.313844167,0.31648576,0.274752275
2304,0.74082032,0.7344078,0.734213356,0.739126014,0.66152108,0.725760313,0.379641542,0.329588556,0.475845367,0.363530974,0.306611344,0.34156005,0.379567289,0.3294523,0.475641189,0.363403368,0.306302233,0.34157115,0.262148992,0.3156064,0,0.257121728,0,0.2334068,0,0.236529317,0.187943867,0.3163322,0.21483735,0.34064625
2305,0.5103003,0.5666105,0.542152858,0.516431208,0.475130583,0.5551628,0.25526629,0.348345589,0.220895325,0.32185894,0.254704671,0.18309359,0.25511374,0.348010667,0.220792037,0.321682773,0.254472843,0.18308688,0.221605306,0.3164611,0.22404624,0.219012485,0.31570515,0.2421315,0.3152733,0.195973833,0.370884033,0.310411067,0.155342978,0.141192
2306,0.538705235,0.532365017,0.502070542,0.492352855,0.476851227,0.538084127,0.372198155,0.242207311,0.337508322,0.282153276,0.277202362,0.3129935,0.353055709,0.305675236,0.328865873,0.311128914,0.2831789,0.283051691,0,0,0,0.0338751,0,0.3172208,0,0,0,0,0,0
